"K_L.ID","K_L.logFC","K_L.logCPM","K_L.LR","K_L.PValue","K_L.FDR"
"ENSG00000002834",0.702594193979142,7.71232670259372,126.093738792398,2.93296822326769e-29,3.13063385578027e-28
"ENSG00000166441",0.757960751870524,7.0619891976929,91.9452000597224,8.91102454945443e-22,7.69915259766539e-21
"ENSG00000065534",0.562486489544888,8.0419655261303,91.3322064239014,1.21467466721328e-21,1.04546625586018e-20
"ENSG00000113369",0.739681759858011,7.05886944333186,89.9623502870802,2.42735516253597e-21,2.06472078689236e-20
"ENSG00000171227",0.699237602021592,7.32574726099035,88.6400687763547,4.73598346427355e-21,3.9907181757779e-20
"ENSG00000176986",0.722963226388512,7.19860251822089,87.3984110475293,8.87217394500943e-21,7.406651522764e-20
"ENSG00000124839",0.841477420462384,6.64724486588428,85.7911424489075,1.99979923742339e-20,1.64685041558594e-19
"ENSG00000171130",0.774176329560126,6.67102091718648,74.0744312066205,7.52264244067409e-18,5.68113594663399e-17
"ENSG00000139793",0.744750874781656,6.66940197679713,68.8267160294225,1.07506409529724e-16,7.7320727544723e-16
"ENSG00000214022",0.742557795448003,6.72178628367548,67.337765388502,2.28757214238827e-16,1.62397403668915e-15
"ENSG00000182553",0.648327692329271,6.99971822404065,64.1207447669793,1.17022842016424e-15,8.02146820161344e-15
"ENSG00000083845",0.565344968553636,7.39380911988617,63.0507713796938,2.01446473302094e-15,1.37081125100275e-14
"ENSG00000164054",0.913310608572916,5.91203748906727,62.3556976989684,2.86700760216483e-15,1.93921807436653e-14
"ENSG00000143774",0.766873681540561,6.35868260927794,59.8703477625203,1.01316448763037e-14,6.71165517726273e-14
"ENSG00000139531",0.739847163099149,6.52075843956838,59.471259607507,1.24093243341423e-14,8.18433150366157e-14
"ENSG00000114993",0.718598040150383,6.53103309852112,59.154028970223,1.4580052229617e-14,9.57387955165219e-14
"ENSG00000151276",0.650943409374908,6.80364563564324,58.4395406803368,2.09635124594263e-14,1.36816423451102e-13
"ENSG00000100911",0.935749514217362,5.72511991451626,57.4527592464532,3.46195190031318e-14,2.23733615626562e-13
"ENSG00000168906",0.496921652009127,7.46556541144914,53.1363638795311,3.11178139059618e-13,1.92210830745697e-12
"ENSG00000182196",0.58596927317105,7.0245815212969,52.9483304514233,3.42438973099549e-13,2.11114377878533e-12
"ENSG00000186470",1.05714299004616,5.23700426885037,51.9685859656105,5.63957038965309e-13,3.42979821696317e-12
"ENSG00000066468",0.878996133948316,5.75529050856513,51.7831390840304,6.19817980957286e-13,3.76138866479476e-12
"ENSG00000131470",1.08665827764519,5.15976636431511,51.6515641763475,6.6277817323077e-13,4.01343056434034e-12
"ENSG00000178988",0.683140508055755,6.54526801935919,49.9840837875612,1.54998158920303e-12,9.22930525315758e-12
"ENSG00000175155",0.781113332698646,6.02598176424969,49.3465882829324,2.14507196019337e-12,1.26820894807436e-11
"ENSG00000148985",1.07696660728725,5.10967285238834,49.2717043239444,2.22853928139577e-12,1.31617249050921e-11
"ENSG00000058799",0.984174390029436,5.36051924784084,49.1941519664002,2.31840852234728e-12,1.36745364981879e-11
"ENSG00000110911",0.8064632050029,5.92729547793386,49.1235455197162,2.40337912435422e-12,1.41682821773857e-11
"ENSG00000180370",0.717996092804969,6.30634886145993,49.1124888965185,2.41696447399709e-12,1.42446360115814e-11
"ENSG00000179562",1.04698243319982,5.18960049849518,48.9171827693428,2.67001403884185e-12,1.56866812261111e-11
